Episode,D-PER-DDQN,PER-DDQN,MS-DDQN
0,-965.0717749772733,-6230,-8000.0
1,-1026.229322529984,-5908,-8000.0
2,-4271.120611644346,-1771,-8000.0
3,-6381.151006767489,-3111,-8000.0
4,-3023.982475110032,-5822,-3979.2105508411246
5,-465.2463990179349,-5267,-2045.7748265496316
6,-3003.169504187732,-4852,-3284.716634845464
7,-5408.1826342140885,-679,-950.6144158487805
8,-77.07316494327762,-2102,-4272.623825656853
9,57.028928157134544,-2026,-2738.0854994002043
10,-4.305063511443393,-2061,-1591.2242209462834
11,-5153.956040688633,-2719,-2060.50136219377
12,-8.878805247213315,-3016,-2164.0971275776537
13,14.17924609957312,-4342,-2170.2891283502167
14,60.43095779984418,-1433,-2964.3222142904588
15,77.54097961858227,-2012,-2607.481318217546
16,39.918659100387835,-766,-934.5812643524762
17,158.04322295635322,-959,-986.4631012938157
18,148.23963045250403,-651,-1206.2694601347823
19,147.4534945139534,-1776,-685.9962056803666
20,97.23207429740364,-1761,-1180.586399847043
21,133.45639446340766,-206,-962.4284760982016
22,93.61249494221941,-1026,-1242.7579923164726
23,98.29991134339163,-731,-1114.2972340452905
24,213.67663531525977,-360,-902.525809807742
25,219.06748009341675,-617,-394.6086103374758
26,129.53959502868403,-190,-1134.0646759291922
27,236.91742152377432,-525,-1474.642712407283
28,-9.751268748373022,-227,-514.6803226738795
29,-1884.8589710361732,-550,-698.2842742254089
30,156.5777090951708,-246,-903.7675103084787
31,40.8056193278432,-375,-706.9015713587943
32,195.1823205895368,-351,-939.7004335365075
33,153.67687399405287,-324,-655.7156460169315
34,7.6158743304230825,-386,-786.0675734189512
35,-220.9324646174597,-249,-370.4877372121005
36,183.84793283731403,-928,-929.41458729663
37,169.07635361262396,-382,-969.286674962113
38,179.13677252321497,-350,-351.62834389055035
39,175.03451879031306,-363,-387.0181604207883
40,238.50182194730218,-252,-626.3770946778591
41,-480.51622688327575,-107,-312.64125498295704
42,-44.85274391367017,-389,-1150.875096977222
43,159.13208118837167,-99,-900.3565420410556
44,140.91154410787772,-163,-991.3703734932535
45,133.7550281689039,-173,-1540.0998610768945
46,168.92992298590553,-301,-782.4084127287035
47,249.94914893001743,-296,-6653.0157122389055
48,176.4975560736808,-363,-453.5877842225034
49,-4896.098424609717,-130,-728.5444384586875
50,122.79343953271638,-120,-644.583398828014
51,201.27322804549016,-191,-1667.042090922338
52,140.52287872750816,-75,-421.0965272205373
53,179.59830688652386,-79,-228.82156188323393
54,183.04636908368929,-14,-470.7145558062044
55,157.2142777294955,-321,-163.866261112529
56,201.67467449583722,-60,-464.26083809277856
57,189.75344393900875,-719,-204.30728795116465
58,166.7560033343757,-211,-693.0135319024641
59,160.52174827434376,-57,-456.24091029923744
60,175.0,-216,-360.3684615358548
61,242.4895560126262,-81,-298.17530893725285
62,100.63040867236927,-92,-494.0439340108709
63,168.90179401548667,-57,-750.8947618048685
64,166.80502036898832,-158,-123.38300011972905
65,209.79726232219235,-59,-110.8813630427313
66,207.8645855749329,-78,-157.69107699493708
67,187.91189936433074,-1222,-591.2968585733638
68,249.5369787313594,-38,-341.0714296222926
69,189.22191875868225,-62,-875.4447929533465
70,224.44298758813952,-18,-1442.5626716635002
71,173.339811320566,-69,-307.5660325181193
72,175.56220659159203,-94,-757.6787324877985
73,135.7472871761934,-18,-692.8762548208546
74,63.755948135748994,-87,-206.4482568850431
75,203.91189936433074,-78,-711.8655121472185
76,154.1400305398526,-106,-274.4593391522047
77,209.8119851950386,-94,-796.5779552493013
78,202.94543606257585,-77,-156.95435631880304
79,189.85675234116275,-138,-503.2392119991256
80,182.26683176841254,-58,-522.9054109155066
81,209.2247140999566,-178,-267.0185361116238
82,206.82181938112018,-8,-198.50317164163954
83,206.0051593221708,-36,-225.41658488546608
84,251.88781845801253,-30,-368.6783817291861
85,197.4453080794696,-111,-283.6703238154146
86,212.08160863775743,-59,-161.1422289528429
87,205.00934923950842,-39,-247.57235642059595
88,198.0,-111,-362.78611411752473
89,245.66342391359018,-150,-234.1169328479572
90,233.35675461004507,-24,-128.6999999999999
91,207.39259193378422,1,-91.3631221389599
92,175.16660533889092,-21,-435.8208103583274
93,212.52422369374656,-106,-205.79845096341646
94,180.04585891796944,-112,-121.22291647912829
95,191.80276587173847,-52,-131.8750412755383
96,176.0,-54,-93.75128487902727
97,173.66094886809097,-14,-320.4764056506401
98,176.33898638045196,-3,-124.73930964933405
99,230.21819229441178,-153,-767.4224358380363
100,222.0,-12,-57.14279418889306
101,163.98691005087605,-61,-833.9008964387288
102,196.0,-37,-152.4323819198353
103,188.2857942600799,-30,-121.6402759413551
104,187.18763354149354,-42,-135.3418147556512
105,195.87652782265127,-13,-345.4134336763209
106,181.82250895041406,-20,-265.32473619513723
107,-133.24655606099122,-81,-256.0568024808242
108,200.4465213754363,-19,-401.0829184152668
109,237.0,-89,-419.45489241920086
110,241.4504946869482,-101,-83.99999999999997
111,219.62482948291074,-16,-94.15761169258244
112,182.40621729269816,-32,-126.53201373732966
113,223.21034761763238,-78,-99.44181475565114
114,206.1795408334453,-46,-123.37052634814106
115,130.9731095537665,-29,-51.573750183506846
116,207.9779249408221,-29,-177.45677115502113
117,222.18508763864884,-69,-140.51338303038455
118,196.15722774015683,-58,-92.3040953489465
119,184.42007096786108,-28,-54.72197365837991
120,223.60195315368225,-65,-581.0625983629438
121,238.9477818148248,-1,-55.910009674577466
122,255.14213562373095,-29,-64.76664596440483
123,228.3566321658339,-14,-60.47075515621263
124,184.8983116601483,2,-194.14007815810243
125,242.87340204892587,-266,-331.707581804465
126,207.0,8,-1395.6357523475592
127,192.4427190999916,-24,-361.9138782173159
128,175.3606797749979,3,-174.78248712972518
129,229.97553028484006,-9,-109.4578233797202
130,200.97243599405112,-25,-220.12980410477738
131,236.73333206057566,-79,-275.5706423934449
132,246.52602904548854,0,-133.73467259483047
133,244.61118655754439,-8,-119.64927093632667
134,237.74402766447875,-28,-637.6116727246746
135,215.47050778368148,-3,-39.10855675967285
136,214.86092013817117,2,-49.41900858157571
137,222.0,5,-205.31516497873375
138,219.0,-57,-658.7785565916564
139,237.3943456801237,4,-77.46579837421513
140,240.41272331387196,0,-201.44747629783345
141,223.61485050984217,-23,-436.5209985814035
142,229.0,-7,-50.10000000000001
143,226.3331436028106,-4,-81.26028212783683
144,211.8655989060353,-1,-81.69431577090614
145,232.73333206057566,-1,-396.80551941801014
146,233.63065698330146,-19,-77.15673976657591
147,235.0,3,-64.53572666261971
148,240.0,7,-85.06788861769815
149,209.91189936433074,6,-67.39999999999998
150,232.0,-29,-83.78145463458964
151,237.04585891796944,-10,-210.7912715238953
152,245.0,15,-60.454789612924785
153,216.4020588679326,-12,-94.88363192352192
