Episode,G-DPER-DDQN,PER-DDQN,MS-DDQN
0,378,2980,3000
1,394,3000,3000
2,1053,905,2523
3,1566,1795,2698
4,799,3000,1155
5,216,3000,613
6,796,3000,986
7,1284,446,278
8,123,1173,1336
9,92,1084,814
10,99,1249,527
11,1245,1557,609
12,102,1578,652
13,138,2638,674
14,158,881,908
15,112,1139,832
16,123,505,320
17,83,610,312
18,77,400,403
19,113,1236,216
20,100,979,359
21,85,195,319
22,131,720,392
23,93,417,368
24,62,281,316
25,57,392,129
26,87,168,351
27,54,434,449
28,132,188,174
29,564,414,239
30,105,204,284
31,130,283,236
32,79,243,300
33,88,196,231
34,149,247,246
35,176,186,144
36,57,656,295
37,74,356,327
38,58,264,134
39,78,250,137
40,61,215,215
41,238,142,107
42,134,280,391
43,95,97,274
44,94,145,355
45,76,142,489
46,72,229,251
47,64,227,1824
48,69,310,166
49,1208,147,267
50,75,127,224
51,59,154,534
52,102,112,142
53,66,94,101
54,75,57,152
55,78,282,62
56,64,92,178
57,62,529,83
58,93,173,244
59,80,83,158
60,56,197,168
61,65,87,117
62,96,99,162
63,71,86,284
64,69,152,60
65,56,90,64
66,61,105,67
67,66,1011,192
68,47,60,136
69,69,102,244
70,68,64,497
71,53,80,131
72,64,125,248
73,72,63,247
74,101,117,86
75,54,111,245
76,89,129,100
77,53,112,278
78,65,122,72
79,58,138,171
80,63,107,170
81,48,173,105
82,50,51,79
83,58,87,92
84,70,79,138
85,56,141,101
86,64,78,75
87,50,69,106
88,51,100,140
89,52,146,95
90,54,74,59
91,62,49,52
92,60,64,151
93,65,123,97
94,55,126,64
95,68,97,65
96,51,76,64
97,56,67,111
98,56,55,64
99,55,159,262
100,41,62,49
101,63,104,245
102,47,72,79
103,49,74,61
104,55,100,66
105,51,58,153
106,63,59,118
107,127,96,95
108,52,73,160
109,51,88,148
110,51,113,55
111,54,62,67
112,75,67,64
113,49,108,53
114,59,70,70
115,73,62,47
116,52,69,82
117,53,112,68
118,77,94,63
119,53,66,52
120,48,90,216
121,62,58,51
122,45,70,51
123,47,59,56
124,57,50,77
125,48,219,119
126,44,47,384
127,54,60,128
128,55,52,81
129,47,63,57
130,51,63,82
131,51,92,98
132,51,58,67
133,57,57,64
134,50,63,225
135,46,58,50
136,51,45,48
137,41,48,83
138,46,91,214
139,51,48,57
140,57,47,83
141,46,60,147
142,44,50,45
143,48,51,53
144,57,56,59
145,43,56,153
146,42,66,56
147,47,45,54
148,41,47,52
149,48,54,47
150,43,74,57
151,46,49,98
152,40,46,52
153,46,46,55
154,44,47,54
155,41,51,131
156,52,55,75
157,40,92,58
158,47,42,41
159,45,42,95
160,45,68,55
161,45,46,143
162,47,45,47
163,46,45,56
164,49,50,56
165,46,53,123
166,43,45,42
167,44,49,48
168,54,40,43
169,40,41,44
170,180,56,53
171,50,39,44
172,55,48,43
173,39,46,52
174,41,42,190
175,43,40,46
176,49,44,72
177,45,48,54
178,48,48,116
179,42,51,50
180,46,40,43
181,49,44,65
182,50,45,46
183,51,51,50
184,43,51,46
185,41,60,41
186,41,81,44
187,42,96,395
188,45,56,125
189,40,48,43
190,39,42,45
191,44,44,48
192,50,41,56
193,41,45,50
194,44,44,68
195,38,41,44
